time,CO2
0.179,-0.031
0.48,0.05
0.782,0.036
1.083,-0.02
1.385,-0.029
1.686,-0.004
1.988,0.001
2.289,-0.002
2.59,-0.011
2.892,-0.02
3.193,-0.011
3.495,0.023
3.796,-0.002
4.098,-0.006
4.399,-0.008
4.701,-0.018
5.002,0.012
5.304,0.083
5.605,0.096
5.907,0.114
6.208,0.099
6.509,0.09
6.811,0.106
7.112,0.161
7.414,0.168
7.715,0.157
8.017,0.125
8.318,0.101
8.62,0.094
8.921,0.09
9.223,0.09
9.524,0.152
9.845,0.217
10.115,0.288
10.428,0.389
10.73,0.389
11.031,0.389
11.333,0.374
11.634,0.204
11.948,0.099
12.212,0.06
12.539,0.036
12.866,0.06
13.122,0.293
13.343,0.754
13.561,1.249
13.676,1.718
13.849,2.014
14.101,1.939
14.119,1.354
14.365,1.198
14.528,0.789
14.813,0.745
15.115,0.445
15.29,0.054
15.606,0.091
15.767,0.273
15.82,0.896
15.869,1.521
15.887,2.11
15.919,2.785
15.951,3.605
15.983,4.305
16.019,4.706
16.03,5.227
16.047,5.606
16.094,6.078
16.133,6.737
16.193,7.262
16.211,8.131
16.273,7.735
16.43,7.079
16.485,6.562
16.54,6.077
16.606,5.53
16.668,5.075
16.732,4.602
16.823,3.847
16.958,3.306
17.129,2.929
17.239,2.347
17.458,1.811
17.746,1.359
18.047,1.06
18.267,0.711
18.511,0.381
18.787,0.187
19.089,0.085
19.39,0.061
19.692,0.067
20.012,0.073
20.283,0.089
20.596,0.117
20.897,0.121
21.199,0.114
21.5,0.143
21.802,0.068
22.103,0.029
22.405,0.029
22.706,0.045
23.008,0.081
23.309,0.045
23.611,0.04
23.912,0.09
24.214,0.029
24.515,0.023
24.817,0.011
25.118,0.003
25.419,-0.009
25.721,-0.004
26.022,0.001
26.324,-0.002
26.625,0.016
26.927,-0.084
27.173,-0.027
