time,oxygen
0.097,0.029
0.398,-0.002
0.699,0.009
1.001,0.03
1.302,0.02
1.604,-0.001
1.905,0.02
2.207,0.03
2.508,0.012
2.81,0.01
3.111,0.047
3.394,0.05
3.714,0.052
4.016,0.036
4.317,0.042
4.618,0.039
4.92,0.025
5.221,0.028
5.523,0.03
5.824,0.03
6.126,0.056
6.427,0.094
6.72,0.115
6.975,0.114
7.441,0.072
7.752,0.074
8.044,0.067
8.346,0.075
8.642,0.058
8.949,0.052
9.25,0.045
9.551,0.046
9.853,0.049
10.154,0.022
10.447,0.036
10.757,0.039
11.059,0.049
11.36,0.04
11.662,0.049
11.963,0.045
12.265,0.046
12.566,0.025
12.868,0.037
13.169,0.049
13.382,0.063
13.573,0.232
13.717,0.396
13.924,0.112
14.187,0.091
14.512,0.077
14.799,0.092
15.115,0.11
15.438,0.095
15.67,0.075
15.745,0.39
15.759,0.222
15.773,0.926
15.827,1.526
15.882,1.89
16.062,2.128
16.156,2.174
16.293,1.89
16.348,1.514
16.403,1.284
16.458,1.053
16.608,0.737
16.714,0.592
16.823,0.479
17.006,0.288
17.065,0.325
17.362,0.215
17.647,0.123
17.938,0.112
18.239,0.117
18.549,0.099
18.842,0.088
19.144,0.14
19.445,0.13
19.756,0.164
20.053,0.189
20.349,0.199
20.648,0.167
20.952,0.125
21.254,0.083
21.555,0.052
21.859,0.042
22.158,0.043
22.46,0.052
22.761,0.056
23.063,0.06
23.364,0.085
23.665,0.078
23.967,0.101
24.268,0.126
24.56,0.161
24.854,0.16
25.159,0.15
25.461,0.151
25.726,0.125
26.077,0.083
26.379,0.074
26.68,0.079
26.982,0.101
27.283,0.075
