Stoichiometry,Diffusivity_m2_per_s
0.1,2.6e-16
0.10707070707070708,2.6e-16
0.11414141414141415,2.6e-16
0.12121212121212122,2.6e-16
0.12828282828282828,2.6e-16
0.13535353535353536,2.6e-16
0.14242424242424243,2.6e-16
0.14949494949494951,2.6e-16
0.15656565656565657,2.7293146520309935e-16
0.16363636363636364,3.0719483586071547e-16
0.17070707070707072,3.490270074755624e-16
0.17777777777777778,3.845765796030346e-16
0.18484848484848487,3.999921517985272e-16
0.19191919191919193,3.9108818205686206e-16
0.198989898989899,3.6782004604067775e-16
0.20606060606060606,3.367080082569432e-16
0.21313131313131314,3.042692571178662e-16
0.22020202020202023,2.7702098103565484e-16
0.2272727272727273,2.6148036842251716e-16
0.23434343434343435,2.6e-16
0.24141414141414144,2.6e-16
0.2484848484848485,2.6e-16
0.25555555555555554,2.6e-16
0.26262626262626265,2.6e-16
0.2696969696969697,2.6e-16
0.2767676767676768,2.6072173705295036e-16
0.2838383838383839,2.768912805151739e-16
0.2909090909090909,3.1099479644934177e-16
0.297979797979798,3.586080449504819e-16
0.30505050505050507,4.1530678611362007e-16
0.31212121212121213,4.766667800337837e-16
0.31919191919191925,5.382637868059996e-16
0.32626262626262625,5.956735665252937e-16
0.33333333333333337,6.444718792866945e-16
0.34040404040404043,6.802344851852277e-16
0.3474747474747475,6.985371443159201e-16
0.3545454545454546,6.994383286817943e-16
0.3616161616161616,6.96417700985543e-16
0.36868686868686873,6.909516632707349e-16
0.37575757575757573,6.832311767924746e-16
0.38282828282828285,6.73447202805867e-16
0.38989898989898997,6.61790702566017e-16
0.396969696969697,6.484526373280297e-16
0.4040404040404041,6.336239683470094e-16
0.4111111111111111,6.174956568780615e-16
0.4181818181818182,6.002586641762903e-16
0.4252525252525253,5.821039514968011e-16
0.43232323232323233,5.632224800946987e-16
0.43939393939393945,5.438052112250875e-16
0.44646464646464645,5.24043106143073e-16
0.45353535353535357,5.041271261037595e-16
0.4606060606060607,4.79359240615645e-16
0.4676767676767677,4.429032970013264e-16
0.4747474747474748,4.0074130110083724e-16
0.4818181818181818,3.592330846645224e-16
0.48888888888888893,3.247384794427247e-16
0.49595959595959593,3.0361731718578865e-16
0.503030303030303,3.0081016366099423e-16
0.5101010101010102,3.087918188819189e-16
0.5171717171717172,3.248014578011214e-16
0.5242424242424243,3.482216816722997e-16
0.5313131313131313,3.7843509174915035e-16
0.5383838383838384,4.1482428928537196e-16
0.5454545454545455,4.567718755346614e-16
0.5525252525252525,5.036604517507155e-16
0.5595959595959596,5.54872619187233e-16
0.5666666666666667,6.097909790979099e-16
0.5737373737373738,6.677981327364451e-16
0.5808080808080809,7.282766813565355e-16
0.5878787878787879,7.906092262118777e-16
0.594949494949495,8.541783685561707e-16
0.602020202020202,9.187656180167555e-16
0.6090909090909091,9.907550155842036e-16
0.6161616161616161,1.0724217560007198e-15
0.6232323232323232,1.1635849771335674e-15
0.6303030303030304,1.2640638168500058e-15
0.6373737373737374,1.3736774130172941e-15
0.6444444444444445,1.492244903502697e-15
0.6515151515151515,1.619585426173471e-15
0.6585858585858586,1.7555181188968815e-15
0.6656565656565657,1.8998621195401877e-15
0.6727272727272727,2.052436565970647e-15
0.6797979797979798,2.2130605960555255e-15
0.6868686868686869,2.3815533476620794e-15
0.693939393939394,2.557733958657575e-15
0.701010101010101,2.741421566909266e-15
0.7080808080808081,2.9324353102844207e-15
0.7151515151515152,3.130594326650297e-15
0.7222222222222222,3.335717753874152e-15
0.7292929292929293,3.547624729823253e-15
0.7363636363636363,3.766134392364855e-15
0.7434343434343434,3.991065879366224e-15
0.7505050505050506,4.22223832869462e-15
0.7575757575757576,4.459470878217297e-15
0.7646464646464647,4.7025826658015256e-15
0.7717171717171717,4.9513928293145584e-15
0.7787878787878788,5.205720506623665e-15
0.7858585858585859,5.4653848355961e-15
0.7929292929292929,5.730204954099122e-15
0.8,6.0000000000000005e-15
